scope,driver_group,mean_abs_group_shap,mean_signed_group_shap,mean_stress_group_shap,n_rows,rank_abs,rank_stress,table,event_key,country,region,crop,year,window,signed_group_shap,abs_group_shap,stress_score
,heat,,,,,4,4,event,United States|Minnesota|Wheat|1994|spring,United States,Minnesota,Wheat,1994.0,spring,-0.029484874588426725,0.029484874588426725,0.029484874588426725
,drought,,,,,1,1,event,United States|Minnesota|Wheat|1994|spring,United States,Minnesota,Wheat,1994.0,spring,-0.08485032510665902,0.08485032510665902,0.08485032510665902
,frost_cold,,,,,2,2,event,United States|Minnesota|Wheat|1994|spring,United States,Minnesota,Wheat,1994.0,spring,-0.08316658432451851,0.08316658432451851,0.08316658432451851
,excess_rain,,,,,3,3,event,United States|Minnesota|Wheat|1994|spring,United States,Minnesota,Wheat,1994.0,spring,-0.08119360443175973,0.08119360443175973,0.08119360443175973
,radiation,,,,,5,5,event,United States|Minnesota|Wheat|1994|spring,United States,Minnesota,Wheat,1994.0,spring,-0.011535462622113375,0.011535462622113375,0.011535462622113375
,heat,,,,,1,1,event,United States|Texas|Wheat|1994|winter,United States,Texas,Wheat,1994.0,winter,-0.06937069460711334,0.06937069460711334,0.06937069460711334
,drought,,,,,5,5,event,United States|Texas|Wheat|1994|winter,United States,Texas,Wheat,1994.0,winter,0.002114997629767945,0.002114997629767945,0.0
,frost_cold,,,,,2,2,event,United States|Texas|Wheat|1994|winter,United States,Texas,Wheat,1994.0,winter,-0.06057328711652303,0.06057328711652303,0.06057328711652303
,excess_rain,,,,,3,3,event,United States|Texas|Wheat|1994|winter,United States,Texas,Wheat,1994.0,winter,-0.04988759753472312,0.04988759753472312,0.04988759753472312
,radiation,,,,,4,4,event,United States|Texas|Wheat|1994|winter,United States,Texas,Wheat,1994.0,winter,-0.019825006224231355,0.019825006224231355,0.019825006224231355
,heat,,,,,3,3,event,United States|Minnesota|Oats|1995|spring,United States,Minnesota,Oats,1995.0,spring,-0.07868506184727031,0.07868506184727031,0.07868506184727031
,drought,,,,,1,1,event,United States|Minnesota|Oats|1995|spring,United States,Minnesota,Oats,1995.0,spring,-0.11522093078944505,0.11522093078944505,0.11522093078944505
,frost_cold,,,,,4,4,event,United States|Minnesota|Oats|1995|spring,United States,Minnesota,Oats,1995.0,spring,-0.0644358889292991,0.0644358889292991,0.0644358889292991
,excess_rain,,,,,2,2,event,United States|Minnesota|Oats|1995|spring,United States,Minnesota,Oats,1995.0,spring,-0.09844631316866809,0.09844631316866809,0.09844631316866809
,radiation,,,,,5,5,event,United States|Minnesota|Oats|1995|spring,United States,Minnesota,Oats,1995.0,spring,-0.025837752242014407,0.025837752242014407,0.025837752242014407
,heat,,,,,1,1,event,United States|South Dakota|Oats|1995|spring,United States,South Dakota,Oats,1995.0,spring,-0.1521968109234767,0.1521968109234767,0.1521968109234767
,drought,,,,,4,4,event,United States|South Dakota|Oats|1995|spring,United States,South Dakota,Oats,1995.0,spring,-0.02460652060700699,0.02460652060700699,0.02460652060700699
,frost_cold,,,,,2,2,event,United States|South Dakota|Oats|1995|spring,United States,South Dakota,Oats,1995.0,spring,-0.0714894734587948,0.0714894734587948,0.0714894734587948
,excess_rain,,,,,3,3,event,United States|South Dakota|Oats|1995|spring,United States,South Dakota,Oats,1995.0,spring,-0.030108145533425383,0.030108145533425383,0.030108145533425383
,radiation,,,,,5,5,event,United States|South Dakota|Oats|1995|spring,United States,South Dakota,Oats,1995.0,spring,-0.004284991809795354,0.004284991809795354,0.004284991809795354
,heat,,,,,2,2,event,United States|Kansas|Wheat|1995|winter,United States,Kansas,Wheat,1995.0,winter,-0.1087572323429445,0.1087572323429445,0.1087572323429445
,drought,,,,,3,3,event,United States|Kansas|Wheat|1995|winter,United States,Kansas,Wheat,1995.0,winter,-0.0830482697831878,0.0830482697831878,0.0830482697831878
,frost_cold,,,,,4,4,event,United States|Kansas|Wheat|1995|winter,United States,Kansas,Wheat,1995.0,winter,-0.05702833440479252,0.05702833440479252,0.05702833440479252
,excess_rain,,,,,1,1,event,United States|Kansas|Wheat|1995|winter,United States,Kansas,Wheat,1995.0,winter,-0.18313003947788165,0.18313003947788165,0.18313003947788165
,radiation,,,,,5,5,event,United States|Kansas|Wheat|1995|winter,United States,Kansas,Wheat,1995.0,winter,-0.02490172214071975,0.02490172214071975,0.02490172214071975
,heat,,,,,3,3,event,United States|Minnesota|Wheat|1995|spring,United States,Minnesota,Wheat,1995.0,spring,-0.06506485317706448,0.06506485317706448,0.06506485317706448
,drought,,,,,1,1,event,United States|Minnesota|Wheat|1995|spring,United States,Minnesota,Wheat,1995.0,spring,-0.11236579640607852,0.11236579640607852,0.11236579640607852
,frost_cold,,,,,4,4,event,United States|Minnesota|Wheat|1995|spring,United States,Minnesota,Wheat,1995.0,spring,-0.06211132571568713,0.06211132571568713,0.06211132571568713
,excess_rain,,,,,2,2,event,United States|Minnesota|Wheat|1995|spring,United States,Minnesota,Wheat,1995.0,spring,-0.08929310105728314,0.08929310105728314,0.08929310105728314
,radiation,,,,,5,5,event,United States|Minnesota|Wheat|1995|spring,United States,Minnesota,Wheat,1995.0,spring,-0.023836485460511946,0.023836485460511946,0.023836485460511946
,heat,,,,,3,3,event,United States|Oklahoma|Wheat|1995|winter,United States,Oklahoma,Wheat,1995.0,winter,-0.04002376119918054,0.04002376119918054,0.04002376119918054
,drought,,,,,2,2,event,United States|Oklahoma|Wheat|1995|winter,United States,Oklahoma,Wheat,1995.0,winter,-0.1489951423988998,0.1489951423988998,0.1489951423988998
,frost_cold,,,,,4,4,event,United States|Oklahoma|Wheat|1995|winter,United States,Oklahoma,Wheat,1995.0,winter,-0.024919597462288112,0.024919597462288112,0.024919597462288112
,excess_rain,,,,,1,1,event,United States|Oklahoma|Wheat|1995|winter,United States,Oklahoma,Wheat,1995.0,winter,-0.24576184987860528,0.24576184987860528,0.24576184987860528
,radiation,,,,,5,5,event,United States|Oklahoma|Wheat|1995|winter,United States,Oklahoma,Wheat,1995.0,winter,-0.015664694349037122,0.015664694349037122,0.015664694349037122
,heat,,,,,1,1,event,United States|Oklahoma|Barley|1996|spring,United States,Oklahoma,Barley,1996.0,spring,-0.19431449602643866,0.19431449602643866,0.19431449602643866
,drought,,,,,2,2,event,United States|Oklahoma|Barley|1996|spring,United States,Oklahoma,Barley,1996.0,spring,-0.10188112156191345,0.10188112156191345,0.10188112156191345
,frost_cold,,,,,4,4,event,United States|Oklahoma|Barley|1996|spring,United States,Oklahoma,Barley,1996.0,spring,-0.02607480394867448,0.02607480394867448,0.02607480394867448
,excess_rain,,,,,3,3,event,United States|Oklahoma|Barley|1996|spring,United States,Oklahoma,Barley,1996.0,spring,-0.09519205586040869,0.09519205586040869,0.09519205586040869
